,accuracy,TP,FP,TN,FN,test_time,train_time
0,85.1,10282,1507,10993,2218,90.59557604789734,65.0104672908783
1,85.924,10284,1303,11197,2216,102.88034009933472,54.3567430973053
2,86.424,10572,1466,11034,1928,96.44118690490723,50.36488103866577
